"lam","Fobar","oza","ag","aw"
795,1.13861096774194,0.007314,0,0.602
796,1.15239217391304,0.0072788,0,0.602
797,1.14965483870968,0.0072436,0,0.602
798,1.1481775,0.0072084,0,0.602
799,1.14066451612903,0.0071732,0,0.602
800,1.13214,0.007138,0,0.602
801,1.13812195652174,0.0071028,0,0.602
802,1.13730333333333,0.0070676,0,0.602
803,1.1341425,0.0070324,0,0.602
804,1.13428173913043,0.0069972,0,0.602
805,1.11758849462366,0.006962,0,0.602
806,1.13125,0.0069268,0,0.602
807,1.12493086956522,0.0068916,0,0.602
808,1.12127565217391,0.0068564,0,0.602
809,1.11364608695652,0.0068212,0,0.602
810,1.11248739130435,0.006786,0,0.602
811,1.12284391304348,0.0067508,0,0.602
812,1.1260147826087,0.0067156,0,0.602
813,1.12945043478261,0.0066804,0,0.602
814,1.12350347826087,0.0066452,0,0.602
815,1.11915304347826,0.00661,0,0.602
816,1.11593285714286,0.0065748,0,0.602
817,1.11110934782609,0.0065396,0,0.602
818,1.09570304347826,0.0065044,0,0.602
819,1.08067285714286,0.0064692,0,0.602
820,1.07486434782609,0.006434,0,0.602
821,1.0770078021978,0.0063988,0,0.602
822,1.07660347826087,0.0063636,0,0.602
823,1.08798054347826,0.0063284,0,0.602
824,1.08491901098901,0.0062932,0,0.602
825,1.08134217391304,0.006258,0,0.602
826,1.08367549450549,0.0062228,0,0.602
827,1.08683307692308,0.0061876,0,0.602
828,1.07848173913043,0.0061524,0,0.602
829,1.07480846153846,0.0061172,0,0.602
830,1.06920739130435,0.006082,0,0.602
831,1.06540626373626,0.0060468,0,0.602
832,1.06500494505494,0.0060116,0,0.602
833,1.03990846153846,0.0059764,0,0.602
834,1.03361,0.0059412,0,0.602
835,1.0503110989011,0.005906,0,0.602
836,1.05854164835165,0.0058708,0,0.602
837,1.0561647826087,0.0058356,0,0.602
838,1.03717133333333,0.0058004,0,0.602
839,1.03806736263736,0.0057652,0,0.602
840,1.05302538461538,0.00573,0,0.602
841,1.05062318681319,0.0056948,0,0.602
842,1.03100516483516,0.0056596,0,0.602
843,1.01566813186813,0.0056244,0,0.602
844,1.01648681318681,0.0055892,0,0.602
845,1.03759466666667,0.005554,0,0.602
846,1.04048813186813,0.0055188,0,0.602
847,1.01767428571429,0.0054836,0,0.602
848,1.01712366666667,0.0054484,0,0.602
849,0.992709333333338,0.0054132,0,0.602
850,0.92958879120879,0.005378,0,0.602
851,0.988507777777778,0.0053428,0,0.602
852,0.980505384615385,0.0053076,0,0.602
853,0.943808666666666,0.0052724,0,0.602
854,0.82939230769231,0.0052372,0,0.602
855,0.900531000000002,0.005202,0,0.602
856,0.983147555555557,0.0051668,0,0.602
857,0.97919153846154,0.0051316,0,0.602
858,0.989321111111111,0.0050964,0,0.602
859,0.985095333333334,0.0050612,0,0.602
860,0.990923555555556,0.005026,0,0.602
861,0.989844175824176,0.0049908,0,0.602
862,1.00625733333333,0.0049556,0,0.602
863,1.01491166666667,0.0049204,0,0.602
864,1.00885088888889,0.0048852,0,0.602
865,0.973396444444446,0.00485,0,0.602
866,0.851512000000005,0.00485,0,0.602
867,0.928161123595505,0.00485,0,0.602
868,0.987689333333333,0.00485,0,0.602
869,0.968202222222223,0.00485,0,0.602
870,0.984024444444444,0.00485,0,0.602
871,0.97112676056338,0.00485,0,0.602
872,0.953,0.00485,0,0.602
873,0.9545,0.00485,0,0.602
874,0.956,0.00485,0,0.602
875,0.957,0.00485,0,0.602
876,0.958,0.00485,0,0.602
877,0.946,0.00485,0,0.602
878,0.934,0.00485,0,0.602
879,0.9345,0.00485,0,0.602
880,0.935,0.00485,0,0.602
881,0.929,0.00485,0,0.602
882,0.923,0.00485,0,0.602
883,0.93,0.00485,0,0.602
884,0.937,0.00485,0,0.602
885,0.9295,0.00485,0,0.602
886,0.922,0.00485,0,0.602
887,0.923,0.00485,0,0.602
888,0.924,0.00485,0,0.602
889,0.922,0.00485,0,0.602
890,0.92,0.00485,0,0.602
891,0.9155,0.00485,0,0.602
892,0.911,0.00485,0,0.602
893,0.9125,0.00485,0,0.602
894,0.914,0.00485,0,0.602
895,0.9165,0.00485,0,0.602
896,0.919,0.00485,0,0.602
897,0.9065,0.00485,0,0.602
898,0.894,0.00485,0,0.602
899,0.8915,0.00485,0,0.602
900,0.889,0.00485,0,0.602
